minute,seconds_present,avg_people,max_people,status
2025-07-15 09:36:00.000000 UTC,361,1.5540166204986141,4,Geldig (>=10s aanwezig)
2025-07-15 09:37:00.000000 UTC,358,1.0642458100558656,2,Geldig (>=10s aanwezig)
2025-07-15 09:38:00.000000 UTC,356,1.4943820224719095,3,Geldig (>=10s aanwezig)
2025-07-15 09:39:00.000000 UTC,355,1.2281690140845081,3,Geldig (>=10s aanwezig)
2025-07-15 09:40:00.000000 UTC,358,1.4692737430167606,4,Geldig (>=10s aanwezig)
2025-07-15 09:41:00.000000 UTC,358,2.0307262569832392,5,Geldig (>=10s aanwezig)
2025-07-15 09:42:00.000000 UTC,361,1.1412742382271492,3,Geldig (>=10s aanwezig)
2025-07-15 09:43:00.000000 UTC,361,1.8227146814404427,4,Geldig (>=10s aanwezig)
2025-07-15 09:44:00.000000 UTC,291,1.2583333333333333,3,Geldig (>=10s aanwezig)
2025-07-15 09:46:00.000000 UTC,95,0.29050279329608947,3,Geldig (>=10s aanwezig)
2025-07-15 09:47:00.000000 UTC,150,0.42857142857142849,1,Geldig (>=10s aanwezig)
2025-07-15 09:48:00.000000 UTC,130,0.37396121883656541,2,Geldig (>=10s aanwezig)
2025-07-15 09:49:00.000000 UTC,261,0.75492957746478906,2,Geldig (>=10s aanwezig)
2025-07-15 09:50:00.000000 UTC,73,0.20448179271708672,1,Geldig (>=10s aanwezig)
2025-07-15 09:53:00.000000 UTC,281,0.93296089385474856,3,Geldig (>=10s aanwezig)
2025-07-15 09:54:00.000000 UTC,322,0.99442896935933123,4,Geldig (>=10s aanwezig)
2025-07-15 09:58:00.000000 UTC,61,0.18258426966292149,2,Geldig (>=10s aanwezig)
2025-07-15 09:59:00.000000 UTC,310,0.99999999999999967,3,Geldig (>=10s aanwezig)
2025-07-15 10:00:00.000000 UTC,28,0.079320113314447591,1,Geldig (>=10s aanwezig)
2025-07-15 10:02:00.000000 UTC,114,0.32478632478632452,1,Geldig (>=10s aanwezig)
2025-07-15 10:03:00.000000 UTC,125,0.3480662983425416,2,Geldig (>=10s aanwezig)
2025-07-15 10:04:00.000000 UTC,319,1.2423398328690813,3,Geldig (>=10s aanwezig)
2025-07-15 10:05:00.000000 UTC,353,1.0453257790368267,2,Geldig (>=10s aanwezig)
2025-07-15 10:06:00.000000 UTC,363,1.4242424242424243,5,Geldig (>=10s aanwezig)
2025-07-15 10:07:00.000000 UTC,175,0.57660167130919249,3,Geldig (>=10s aanwezig)
2025-07-15 10:08:00.000000 UTC,359,1.7743732590529251,4,Geldig (>=10s aanwezig)
2025-07-15 10:09:00.000000 UTC,354,3.8898305084745766,8,Geldig (>=10s aanwezig)
2025-07-15 10:10:00.000000 UTC,353,2.5864022662889514,5,Geldig (>=10s aanwezig)
2025-07-15 10:11:00.000000 UTC,355,2.197183098591549,4,Geldig (>=10s aanwezig)
2025-07-15 10:12:00.000000 UTC,282,2.2974504249291772,5,Geldig (>=10s aanwezig)
2025-07-15 10:13:00.000000 UTC,344,1.166197183098592,4,Geldig (>=10s aanwezig)
2025-07-15 10:14:00.000000 UTC,356,2.5561797752808988,5,Geldig (>=10s aanwezig)
2025-07-15 10:15:00.000000 UTC,354,1.175141242937854,4,Geldig (>=10s aanwezig)
2025-07-15 10:16:00.000000 UTC,157,1.3312101910828034,3,Geldig (>=10s aanwezig)
2025-07-15 10:17:00.000000 UTC,268,0.98897058823529438,2,Geldig (>=10s aanwezig)
2025-07-15 10:18:00.000000 UTC,349,1.1060171919770783,3,Geldig (>=10s aanwezig)
2025-07-15 10:19:00.000000 UTC,353,1.0651558073654397,2,Geldig (>=10s aanwezig)
2025-07-15 10:20:00.000000 UTC,346,1.0057803468208095,2,Geldig (>=10s aanwezig)
2025-07-15 10:21:00.000000 UTC,348,1.0229885057471257,2,Geldig (>=10s aanwezig)
2025-07-15 10:22:00.000000 UTC,349,1.4412607449856747,5,Geldig (>=10s aanwezig)
2025-07-15 10:23:00.000000 UTC,345,1.1420289855072479,3,Geldig (>=10s aanwezig)
2025-07-15 10:24:00.000000 UTC,340,1.0088235294117647,2,Geldig (>=10s aanwezig)
2025-07-15 10:25:00.000000 UTC,344,1.4098837209302333,3,Geldig (>=10s aanwezig)
2025-07-15 10:26:00.000000 UTC,345,2.1705202312138723,4,Geldig (>=10s aanwezig)
2025-07-15 10:27:00.000000 UTC,348,1.4166666666666672,2,Geldig (>=10s aanwezig)
2025-07-15 10:28:00.000000 UTC,345,1.231884057971014,2,Geldig (>=10s aanwezig)
2025-07-15 10:29:00.000000 UTC,355,1.1718309859154934,2,Geldig (>=10s aanwezig)
2025-07-15 10:30:00.000000 UTC,347,1.1613832853025945,2,Geldig (>=10s aanwezig)
2025-07-15 10:31:00.000000 UTC,292,1.0826210826210836,4,Geldig (>=10s aanwezig)
2025-07-15 10:32:00.000000 UTC,351,1.0712250712250704,3,Geldig (>=10s aanwezig)
2025-07-15 10:33:00.000000 UTC,353,1.0028328611898025,2,Geldig (>=10s aanwezig)
2025-07-15 10:34:00.000000 UTC,239,0.96666666666666656,4,Geldig (>=10s aanwezig)
2025-07-15 10:35:00.000000 UTC,75,0.358757062,3,Geldig (>=10s aanwezig)
2025-07-15 10:38:00.000000 UTC,85,0.2404371584699454,2,Geldig (>=10s aanwezig)
2025-07-15 10:45:00.000000 UTC,35,0.14600550964187339,3,Geldig (>=10s aanwezig)
2025-07-15 10:51:00.000000 UTC,45,0.12640449438202245,1,Geldig (>=10s aanwezig)
2025-07-15 11:08:00.000000 UTC,119,0.33711048158640239,1,Geldig (>=10s aanwezig)
2025-07-15 11:09:00.000000 UTC,127,0.36056338028169038,2,Geldig (>=10s aanwezig)
2025-07-15 11:10:00.000000 UTC,163,0.57264957264957284,2,Geldig (>=10s aanwezig)
2025-07-15 11:11:00.000000 UTC,153,0.44475920679886705,2,Geldig (>=10s aanwezig)
2025-07-15 11:12:00.000000 UTC,129,0.369318182,2,Geldig (>=10s aanwezig)
2025-07-15 11:13:00.000000 UTC,172,0.520231214,3,Geldig (>=10s aanwezig)
2025-07-15 11:14:00.000000 UTC,61,0.17086834733893558,1,Geldig (>=10s aanwezig)
2025-07-15 11:15:00.000000 UTC,22,0.062857142857142931,1,Geldig (>=10s aanwezig)
2025-07-15 11:16:00.000000 UTC,86,0.28205128205128216,2,Geldig (>=10s aanwezig)
2025-07-15 11:17:00.000000 UTC,29,0.090116279069767491,2,Geldig (>=10s aanwezig)
2025-07-15 11:18:00.000000 UTC,335,1.6828571428571431,5,Geldig (>=10s aanwezig)
2025-07-15 11:19:00.000000 UTC,113,0.37499999999999989,3,Geldig (>=10s aanwezig)
2025-07-15 11:20:00.000000 UTC,73,0.21098265895953741,1,Geldig (>=10s aanwezig)
2025-07-15 11:23:00.000000 UTC,45,0.14497041420118342,3,Geldig (>=10s aanwezig)
2025-07-15 11:24:00.000000 UTC,22,0.064139941690962182,1,Geldig (>=10s aanwezig)
2025-07-15 11:27:00.000000 UTC,16,0.024205748865355519,1,Geldig (>=10s aanwezig)
2025-07-15 11:29:00.000000 UTC,21,0.031296572280178896,1,Geldig (>=10s aanwezig)
2025-07-15 11:30:00.000000 UTC,67,0.10790273556231003,3,Geldig (>=10s aanwezig)
2025-07-15 11:31:00.000000 UTC,91,0.20318725099601609,3,Geldig (>=10s aanwezig)
2025-07-15 11:32:00.000000 UTC,61,0.17663817663817674,2,Geldig (>=10s aanwezig)
2025-07-15 11:36:00.000000 UTC,22,0.076388888888888909,1,Geldig (>=10s aanwezig)
2025-07-15 11:37:00.000000 UTC,51,0.20277777777777783,3,Geldig (>=10s aanwezig)
2025-07-15 11:38:00.000000 UTC,77,0.21329639889196675,1,Geldig (>=10s aanwezig)
2025-07-15 11:39:00.000000 UTC,35,0.11388888888888903,2,Geldig (>=10s aanwezig)
2025-07-15 11:40:00.000000 UTC,189,0.53055555555555556,2,Geldig (>=10s aanwezig)
2025-07-15 11:41:00.000000 UTC,33,0.094444444,2,Geldig (>=10s aanwezig)
2025-07-15 11:42:00.000000 UTC,13,0.044444444444444495,2,Geldig (>=10s aanwezig)
2025-07-15 11:43:00.000000 UTC,25,0.10644257703081232,2,Geldig (>=10s aanwezig)
2025-07-15 11:44:00.000000 UTC,38,0.10644257703081235,1,Geldig (>=10s aanwezig)
2025-07-15 11:46:00.000000 UTC,65,0.18005540166204995,1,Geldig (>=10s aanwezig)
2025-07-15 11:47:00.000000 UTC,22,0.063888888888888939,2,Geldig (>=10s aanwezig)
2025-07-15 11:48:00.000000 UTC,71,0.22222222222222249,3,Geldig (>=10s aanwezig)
2025-07-15 11:49:00.000000 UTC,320,1.4138888888888881,2,Geldig (>=10s aanwezig)
2025-07-15 11:57:00.000000 UTC,68,0.18836565096952915,1,Geldig (>=10s aanwezig)
2025-07-15 11:59:00.000000 UTC,24,0.066666667,1,Geldig (>=10s aanwezig)
2025-07-15 12:00:00.000000 UTC,14,0.038888888888888896,1,Geldig (>=10s aanwezig)
2025-07-15 12:01:00.000000 UTC,23,0.063888888888888967,1,Geldig (>=10s aanwezig)
2025-07-15 12:02:00.000000 UTC,10,0.041666666666666671,2,Geldig (>=10s aanwezig)
2025-07-15 12:03:00.000000 UTC,18,0.066666666666666721,2,Geldig (>=10s aanwezig)
2025-07-15 12:04:00.000000 UTC,42,0.11666666666666672,1,Geldig (>=10s aanwezig)
2025-07-15 12:05:00.000000 UTC,75,0.21008403361344546,1,Geldig (>=10s aanwezig)
2025-07-15 12:06:00.000000 UTC,38,0.10919540229885057,1,Geldig (>=10s aanwezig)
2025-07-15 12:07:00.000000 UTC,193,0.64739884393063618,3,Geldig (>=10s aanwezig)
2025-07-15 12:08:00.000000 UTC,147,0.5953757225433518,3,Geldig (>=10s aanwezig)
2025-07-15 12:09:00.000000 UTC,152,0.60795454545454519,3,Geldig (>=10s aanwezig)
2025-07-15 12:10:00.000000 UTC,63,0.1779661016949152,1,Geldig (>=10s aanwezig)
2025-07-15 12:11:00.000000 UTC,62,0.18767507002801118,2,Geldig (>=10s aanwezig)
2025-07-15 12:12:00.000000 UTC,44,0.12359550561797762,1,Geldig (>=10s aanwezig)
2025-07-15 12:14:00.000000 UTC,184,0.51253481894150454,1,Geldig (>=10s aanwezig)
2025-07-15 12:15:00.000000 UTC,265,0.96100278551532081,4,Geldig (>=10s aanwezig)
2025-07-15 12:17:00.000000 UTC,27,0.074999999999999969,1,Geldig (>=10s aanwezig)
2025-07-15 12:18:00.000000 UTC,95,0.26388888888888878,1,Geldig (>=10s aanwezig)
2025-07-15 12:19:00.000000 UTC,299,0.86944444444444391,2,Geldig (>=10s aanwezig)
2025-07-15 12:20:00.000000 UTC,134,0.43055555555555541,3,Geldig (>=10s aanwezig)
2025-07-15 12:21:00.000000 UTC,267,0.96666666666666679,4,Geldig (>=10s aanwezig)
2025-07-15 12:22:00.000000 UTC,30,0.12188365650969529,3,Geldig (>=10s aanwezig)
2025-07-15 12:23:00.000000 UTC,111,0.5,3,Geldig (>=10s aanwezig)
2025-07-15 12:24:00.000000 UTC,94,0.316666667,3,Geldig (>=10s aanwezig)
2025-07-15 12:25:00.000000 UTC,61,0.16944444444444454,1,Geldig (>=10s aanwezig)
2025-07-15 12:26:00.000000 UTC,67,0.19166666666666668,2,Geldig (>=10s aanwezig)
2025-07-15 12:27:00.000000 UTC,173,0.51111111111111085,2,Geldig (>=10s aanwezig)
2025-07-15 12:28:00.000000 UTC,120,0.33611111111111092,2,Geldig (>=10s aanwezig)
2025-07-15 12:29:00.000000 UTC,46,0.1472222222222222,2,Geldig (>=10s aanwezig)
2025-07-15 12:31:00.000000 UTC,152,0.51666666666666694,3,Geldig (>=10s aanwezig)
2025-07-15 12:32:00.000000 UTC,159,0.50833333333333386,2,Geldig (>=10s aanwezig)
2025-07-15 12:33:00.000000 UTC,201,0.57063711911357373,2,Geldig (>=10s aanwezig)
